Agent, Computer Name, Duration of Call, LOB, Message,
dbustamente,auswidf1d79,58 min,cafe,unable to click ship button on SW, escalated to SS
ddecoux,auswidf1d87,57 min,cafe,After sw upgrade, sw not working, writing as delet
smintz,ausrcb026,44 min,cafe,3011 writing to delete
toneal,ausrcwa00134,30 min,cafe,slow FSM
abarrett,ausrca0088,30 min,cafe,Rates 0 after upgrade to 3011
abarrett,ausrca0088,28 min,cafe,rates o after upgrade to 3011
ddecoux,auswidf1d87,27 min,cafe,Database integration questions for merging compani
ddewitt,ausrca0141,26 min,cafe,Shipping has been disabled after V.3011 upgrade
veme,auswidf1d144,23 min,cafe,EOD
avanegas,ausrca0098,20 min,cafe,FXIA grayed out
rhagemann,ausrca0113,20 min,cafe,Intl Document Issue
ddewitt,ausrca0141,20 min,cafe,V.3011 Writing as Deleted
ddewitt,ausrca0141,18 min,cafe,Verbal walk though of integration batch
toneal,ausrcwa00134,17 min,cafe,writing as deleted: fonts II electric boogaloo
bzertuche,auswidf1d136,16 min,cafe,No rates, download list rates
abarrett,ausrca0088,15 min,cafe,Credit Prvleges revoked
bzertuche,auswidf1d136,15 min,cafe,Updating software
toneal,ausrcwa00134,13 min,cafe,product key
abarrett,ausrca0088,12 min,cafe,Rates 0 after upgrade to 3011
avanegas,ausrca0098,11 min,cafe,product key
toneal,ausrcwa00134,10 min,cafe,FSM not initializing
ddecoux,auswidf1d87,10 min,cafe,After upgrade sw not working, did not have time ri
dbates,ausrca0143,10 min,dotcom,shipment walkthrough
rrodriguez,ausrca0092,8 min,cafe,Printer issue with drivers.
toneal,ausrcwa00134,7 min,cafe,FSM will not start after upgrade
toneal,ausrcwa00134,7 min,cafe,website login
dbates,ausrca0143,7 min,dotcom,return shipment
smintz,ausrcb026,6 min,dotcom,pickups
bzertuche,auswidf1d136,6 min,cafe,Updating software
toneal,ausrcwa00134,5 min,cafe,tracking a package
toneal,ausrcwa00134,5 min,cafe,product key
toneal,ausrcwa00134,5 min,cafe,integration issue
bzertuche,auswidf1d136,5 min,cafe,Updating software
bzertuche,auswidf1d136,4 min,cafe,Updating software
