Agent, Computer Name, Duration of Call, LOB, Message,
pharper,fedex15,21 min,cafe,Object not set when Trackingb pkg
avanegas,ausrca0098,19 min,cafe,commodity shipment
mfernandez,auswidf1060,11 min,cafe,download printer drivers
pharper,fedex15,10 min,cafe,New install
avanegas,ausrca0098,9 min,cafe,transfer to FedEx LTL Freight Technical Support
mfernandez,auswidf1060,8 min,cafe,demand download
avanegas,ausrca0098,6 min,cafe,Transmission Files Need to be Copied to CD
mdiaz,auswidf1d95,6 min,cafe,cic work request for new install
mfernandez,auswidf1060,6 min,cafe,upgrade softwre
sdavidson,ausrca0089,6 min,cafe,download rates
avanegas,ausrca0098,4 min,cafe,email return label
pharper,fedex15,4 min,dotcom,LTL freight shpmnt
avanegas,ausrca0098,2 min,cafe,cust install concern of time
